"","area_type","location","size","society","total_sqft","bath","balcony","price"
"862","Plot  Area","Indiranagar HAL 2nd Stage",4,"Unknown",2400,4,1,640
"863","Super built-up  Area","Electronics City Phase 1",2,"Shitt S",1175,2,2,51.47
"864","Built-up  Area","Subramanyapura",2,"DSagax ",1200,2,2,52
"865","Built-up  Area","Kodichikkanahalli",2,"Prs 2hi",995,2,1,41
"866","Super built-up  Area","Magadi Road",2,"Vrenty ",884,2,1,41.1
"867","Plot  Area","Vishwanatha Nagenahalli",5,"Unknown",900,3,2,80
"868","Built-up  Area","Yeshwanthpur",2,"IBityin",1170,2,2,57
"869","Super built-up  Area","KR Puram",2,"LVniaar",1225,2,1,46.55
"870","Super built-up  Area","Electronic City",2,"Prarkun",1342,2,1,73.3
"871","Built-up  Area","Uttarahalli",2,"Unknown",1345,2,1,67
"872","Built-up  Area","Kodigehaali",3,"Shyas S",1320,3,0,65
"873","Super built-up  Area","Singapura Village",2,"Unknown",1290,2,2,45
"874","Super built-up  Area","Raja Rajeshwari Nagar",2,"GrrvaGr",1140,2,1,49.39
"875","Super built-up  Area","Battarahalli",2,"Sancy L",1300,2,1,50
"876","Super built-up  Area","Hosa Road",3,"Unknown",1652,3,2,85
"877","Super built-up  Area","Thigalarapalya",3,"Prtanha",2072,4,2,142
"878","Built-up  Area","Arekere",3,"Unknown",1740,2,2,95
"879","Super built-up  Area","Electronic City",3,"GMown E",1360,2,1,71
"880","Super built-up  Area","Hosur Road",3,"Sueneu ",1145,2,2,60
"881","Built-up  Area","Uttarahalli",3,"Laihai ",1540,2,0,40
"882","Super built-up  Area","Sarjapur  Road",2,"Adeatlm",1278,2,2,95
"883","Super built-up  Area","Electronic City Phase II",1,"SNbay G",630,1,1,40
"884","Super built-up  Area","Kanakpura Road",3,"PrarePa",1100,3,2,58
"885","Plot  Area","Bendiganahalli",3,"Brersld",1200,3,0,95
"886","Built-up  Area","Hosakerehalli Layout",7,"Unknown",2500,6,2,115
"887","Super built-up  Area","Chandapura",1,"SuVue S",1290,1,0,15.135
"888","Super built-up  Area","Chandapura",2,"SunceEs",1015,2,2,25.88
"889","Built-up  Area","Hosur Road",5,"Unknown",3300,5,2,240
"890","Plot  Area","Basaveshwara Nagar",5,"Unknown",4500,5,1,415
"891","Super built-up  Area","Gunjur",3,"Unknown",1356,2,3,66
"892","Super built-up  Area","Hennagara",2,"Unknown",823,2,1,28
"893","Plot  Area","TC Palaya",3,"Unknown",1200,2,0,66
"894","Built-up  Area","Ramamurthy Nagar",2,"Unknown",1050,2,0,37
"895","Super built-up  Area","Ferrar Nagar",2,"Leton A",1180,2,1,69
"896","Super built-up  Area","Whitefield",2,"Sonviik",1116,2,3,51.91
"897","Super built-up  Area","7th Phase JP Nagar",2,"SrncyRe",1070,2,1,42.79
"898","Super built-up  Area","Varthur",2,"Uptusol",1385,2,3,80
"899","Plot  Area","Varthur",1,"Unknown",1000,1,1,70
"900","Built-up  Area","Whitefield",3,"Unknown",1897,3,2,130
"901","Super built-up  Area","Magadi Road",2,"Vrenty ",1005,2,1,55.78
"902","Super built-up  Area","Green Glen Layout",3,"Soinequ",1575,3,2,125
"903","Super built-up  Area","Subramanyapura",2,"Mayne A",975,2,1,65
"904","Super built-up  Area","Hennur Road",3,"SaireSa",1904,3,2,120
"905","Super built-up  Area","Kengeri Satellite Town",1,"Unknown",930,1,1,30
"906","Super built-up  Area","Kanakpura Road",1,"PrarePa",525,1,1,26
"907","Super built-up  Area","BAGUR",1,"Unknown",686,1,1,17
"908","Plot  Area","Electronic City Phase II",2,"Daosts ",2400,3,1,150
"909","Plot  Area","8th block Koramangala",2,"Unknown",1410,1,0,233
"910","Built-up  Area","Sarjapur  Road",3,"Unknown",2238,3,1,140
"911","Super built-up  Area","Harlur",2,"Prncyrn",1174,2,1,69
"912","Built-up  Area","Thubarahalli",4,"Unknown",3800,4,3,239
"913","Super built-up  Area","Whitefield",3,"UKe 2nz",2225,2,1,125
"914","Super built-up  Area","M.G Road",2,"SontsAp",1250,2,0,200
"915","Super built-up  Area","Jigani",2,"DLhtsan",918,2,2,52
"916","Super built-up  Area","Mahadevpura",2,"Unknown",1250,2,3,52
"917","Super built-up  Area","Sarjapur  Road",3,"Maantr ",1800,3,2,110
"918","Built-up  Area","Marathahalli",2,"Foodasa",1170,2,3,53
"919","Super built-up  Area","Byatarayanapura",1,"Unknown",1300,1,0,200
"920","Built-up  Area","Bannerghatta Road",2,"Unknown",793,2,1,45
"921","Super built-up  Area","Jakkur",3,"BrdgeNo",1710,3,2,107
"922","Super built-up  Area","Kambipura",3,"Prrtht ",1082,2,1,57.5
"923","Super built-up  Area","Naganathapura",2,"Unknown",1001,2,2,33.03
"924","Built-up  Area","Srinivasa Nagar",4,"Unknown",1500,4,2,180
"925","Super built-up  Area","Yelahanka",3,"Unknown",1590,2,1,54
"926","Super built-up  Area","Basavanagara",3,"Unknown",2400,2,0,80
"927","Super built-up  Area","Horamavu Banaswadi",3,"Asorai ",1554,3,2,55
"928","Super built-up  Area","Thanisandra",2,"Omter A",1290,2,0,43.415
"929","Super built-up  Area","Bellandur",5,"Unknown",4239,5,2,423
"930","Built-up  Area","Konanakunte",2,"Unknown",884,1,0,58
"931","Super built-up  Area","Hosa Road",2,"Skume R",1045,2,1,98.89
"932","Super built-up  Area","Marathahalli",2,"Unknown",1019,2,2,49.86
"933","Super built-up  Area","Ambedkar Nagar",3,"SoechHa",1935,4,2,130
"934","Super built-up  Area","Uttarahalli",3,"Unknown",1135,2,2,39.73
"935","Super built-up  Area","Lakshminarayana Pura",3,"RothaVa",1680,3,2,150
"936","Super built-up  Area","Hebbal",4,"Raard B",2470,5,2,247
"937","Super built-up  Area","1st Phase JP Nagar",4,"Prhtsok",2825,4,3,250
"938","Super built-up  Area","Hosakerehalli",3,"Taonte ",2480,3,1,330
"939","Plot  Area","5th Phase JP Nagar",9,"Unknown",1260,11,2,290
"940","Plot  Area","Ramamurthy Nagar",5,"Unknown",1800,4,3,187
"941","Built-up  Area","Kasavanhalli",3,"Ocrda M",1799,3,3,90
"942","Super built-up  Area","Whitefield",4,"PrOakSi",1290,NA,2,304
"943","Built-up  Area","Attibele",1,"Jae 2hu",400,1,1,11
"944","Built-up  Area","Kundalahalli",2,"Dieldli",1047,2,1,82
"945","Super built-up  Area","Kaverappa Layout",2,"Kesomrn",1282,2,2,87
"946","Super built-up  Area","NGR Layout",2,"Unknown",1020,2,1,45.9
"947","Plot  Area","Kammanahalli",4,"Unknown",1080,3,1,155
"948","Super built-up  Area","Whitefield",2,"UKe 2nz",1495,2,1,79.5
"949","Built-up  Area","Kasavanhalli",4,"Vaidsi ",3260,4,1,240
"950","Super built-up  Area","Divya Unnathi Layout",3,"Unknown",1611,2,2,64.44
"951","Super built-up  Area","Koramangala",4,"K ncy R",3500,5,2,425
"952","Built-up  Area","Vasantha Vallabha Nagar",3,"Unknown",1500,2,2,95
"953","Super built-up  Area","Sahakara Nagar",3,"EsniaGa",1500,2,2,95
"954","Plot  Area","Yelahanka",4,"Aaire S",3206,5,2,270
"955","Super built-up  Area","Uttarahalli",3,"Laihai ",1540,3,0,50
"956","Super built-up  Area","Hosa Road",3,"Pamesy ",1639,3,1,80
"957","Plot  Area","Marathahalli",4,"Unknown",700,4,2,72
"958","Super built-up  Area","Raja Rajeshwari Nagar",2,"GrrvaGr",1303,2,2,55.79
"959","Super built-up  Area","Koramangala",2,"K ncy R",1005,1,1,110
"960","Super built-up  Area","Kammasandra",1,"Puitea ",1290,1,0,18.41
"961","Super built-up  Area","Chandapura",3,"SunceEs",1305,3,1,33.28
"962","Plot  Area","Kothannur",3,"Unknown",600,4,0,95
"963","Super built-up  Area","sapthagiri Layout",2,"Unknown",1300,1,1,115
"964","Super built-up  Area","Brookefield",3,"Saowson",1440,2,3,68
"965","Super built-up  Area","Seegehalli",2,"Unknown",901,2,1,35.14
"966","Super built-up  Area","Rajaji Nagar",3,"Brway G",1725,3,3,200
"967","Built-up  Area","Sarjapur",3,"Unknown",900,2,1,42
"968","Super built-up  Area","BEML Layout",2,"Unknown",1060,2,1,55
"969","Super built-up  Area","NGR Layout",2,"Unknown",1020,2,1,48.45
"970","Super built-up  Area","Varthur",3,"Myple M",1535,3,2,65.99
"971","Built-up  Area","Alur",1,"Unknown",530,1,1,20
"972","Super built-up  Area","Haralur Road",3,"NRowse ",1464,3,2,56
"973","Super built-up  Area","Devarabisanahalli",2,"Spdoren",1350,2,3,80
"974","Super built-up  Area","Sarjapur  Road",2,"Unknown",1115,2,2,50
"975","Super built-up  Area","Uttarahalli",2,"Unknown",1175,2,2,47
"976","Built-up  Area","Whitefield",2,"Unknown",1113,2,1,62
"977","Plot  Area","Uttarahalli",6,"Unknown",1200,4,2,225
"978","Plot  Area","Ramamurthy Nagar",5,"Unknown",1640,4,3,240
"979","Built-up  Area","Giri Nagar",2,"Spanda ",650,2,0,42
"980","Super built-up  Area","Marathahalli",2,"Unknown",1325,2,2,71.55
"981","Built-up  Area","Electronics City Phase 1",2,"Shelash",950,2,3,31
"982","Super built-up  Area","Jakkur",3,"Unknown",1396,2,1,86.51
"983","Super built-up  Area","Rachenahalli",2,"Unknown",1050,2,2,52.07
"984","Super built-up  Area","Thanisandra",3,"Unknown",1825,3,2,100
"985","Super built-up  Area","7th Phase JP Nagar",2,"Vasta C",1190,2,1,49.98
"986","Super built-up  Area","Marathahalli",2,"Unknown",1220,2,1,56.5
"987","Super built-up  Area","NRI Layout",3,"Unknown",1565,2,2,75
"988","Super built-up  Area","Hennur Road",3,"SaireSa",1891,3,1,109
"989","Built-up  Area","Sidedahalli",2,"Unknown",900,2,0,27
"990","Super built-up  Area","Hosa Road",2,"Mahesr ",1161,2,1,55.15
"991","Super built-up  Area","Sarjapur",1,"DSousyl",1290,1,0,17.535
"992","Plot  Area","Dwarka Nagar",8,"Unknown",2400,6,3,125
"993","Plot  Area","Rajaji Nagar",4,"Unknown",315,4,2,90
"994","Super built-up  Area","Yeshwanthpur",1,"IBityin",665,1,1,36.85
"995","Super built-up  Area","Mysore Road",2,"Unknown",1175,2,1,73.5
"996","Built-up  Area","Hoodi",2,"Goeur G",1425,2,2,80
"997","Plot  Area","Chikkabanavar",1,"Unknown",1200,1,0,20
"998","Plot  Area","ITPL",3,"Unknown",1200,3,1,56.12
"999","Built-up  Area","Somasundara Palya",2,"Abeesmi",1255,2,2,67
"1000","Super built-up  Area","Hegde Nagar",3,"SoisoCa",1290,4,2,145
"1001","Super built-up  Area","Raja Rajeshwari Nagar",1,"Unknown",600,1,1,22
"1002","Super built-up  Area","Haralur Road",3,"SNnia E",1810,3,2,100
"1003","Super built-up  Area","Indira Nagar",2,"Unknown",1200,2,2,93
"1004","Super built-up  Area","Harlur",2,"Unknown",1033,2,2,49
"1005","Super built-up  Area","ITPL",3,"Unknown",1548,3,2,89.5
"1006","Super built-up  Area","Horamavu Banaswadi",3,"Unknown",1611,3,3,66
"1007","Built-up  Area","Electronic City Phase II",3,"Sryalan",1400,2,1,40.43
"1008","Super built-up  Area","Vidyaranyapura",3,"Graceik",1485,2,2,67
"1009","Built-up  Area","Margondanahalli",2,"Unknown",2400,2,1,82
"1010","Super built-up  Area","Pattandur Agrahara",2,"Shvarji",1025,2,1,44.5
"1011","Plot  Area","Thurahalli",4,"Unknown",600,3,2,65
"1012","Super built-up  Area","Hallehalli",2,"Unknown",1225,2,2,53
"1013","Built-up  Area","5th Phase JP Nagar",2,"Unknown",1256,2,1,62.8
"1014","Super built-up  Area","Whitefield",4,"ArsiaEx",2268,3,2,163
"1015","Super built-up  Area","Kanakpura Road",3,"PrarePa",1100,3,2,53
"1016","Super built-up  Area","Vadarpalya",2,"VMianri",1141,2,0,62
"1017","Built-up  Area","Attibele",1,"Jae 1hu",400,1,1,12
"1018","Plot  Area","Chandapura",2,"Unknown",1400,2,0,60
"1019","Super built-up  Area","Kattigenahalli",7,"Unknown",4100,7,2,140
"1020","Plot  Area","Marathi Layout",1,"Unknown",1290,1,0,110
"1021","Carpet  Area","Weavers Colony",1,"Unknown",15,1,0,30
"1022","Super built-up  Area","Raghavendra Nagar",2,"Unknown",1175,2,2,48.27
"1023","Super built-up  Area","Sahakara Nagar",2,"Unknown",1100,2,1,56
"1024","Super built-up  Area","Kanakpura Road",3,"Puestol",1843,3,2,95.84
"1025","Plot  Area","1st Phase JP Nagar",8,"Unknown",1200,7,2,240
"1026","Super built-up  Area","Horamavu Banaswadi",2,"Unknown",1460,2,1,80.5
"1027","Super built-up  Area","Rachenahalli",3,"Sovar S",1530,2,2,74.5
"1028","Built-up  Area","HSR Layout",2,"Unknown",1467,2,1,55
"1029","Super built-up  Area","KR Layout",1,"Unknown",950,1,1,40
"1030","Super built-up  Area","Vittasandra",2,"Prlla C",1246,2,1,64.5
"1031","Super built-up  Area","Kanakapura",1,"GoityEt",711,1,1,38
"1032","Super built-up  Area","Haralur Road",2,"RInceeg",1194,2,2,46
"1033","Super built-up  Area","Babusapalaya",3,"ARngsd ",1358,2,1,43.4
"1034","Carpet  Area","Nagasandra",6,"Unknown",1500,5,1,130
"1035","Super built-up  Area","Hoodi",2,"Goeur G",1420,2,2,75
"1036","Super built-up  Area","Kathriguppe",3,"Unknown",1250,2,1,68.75
"1037","Built-up  Area","Akshaya Nagar",2,"Unknown",1280,2,2,58
"1038","Super built-up  Area","Nagappa Reddy Layout",2,"Gruesaf",1209,2,1,50
"1039","Built-up  Area","Kempapura",5,"Unknown",4200,5,2,225
"1040","Plot  Area","BTM 1st Stage",4,"Unknown",1215,4,3,205
"1041","Super built-up  Area","Panathur",3,"Saite G",1315,2,1,54.8
"1042","Super built-up  Area","Kariyammana Agrahara",3,"Unknown",1800,3,3,90
"1043","Built-up  Area","Hessarghatta",5,"Unknown",1600,4,0,125
"1044","Super built-up  Area","TC Palaya",3,"RKncyha",1600,2,2,65
"1045","Plot  Area","Binnamangala",6,"Unknown",3968,5,2,900
"1046","Super built-up  Area","Suraksha Nagar",3,"AritaFe",1563,3,2,52
"1047","Super built-up  Area","Whitefield",3,"SRidePr",1560,2,2,72
"1048","Super built-up  Area","Brookefield",3,"Krrbsil",2169,4,2,115
"1049","Plot  Area","Lakshmi Layout",9,"Unknown",900,10,2,170
"1050","Super built-up  Area","Rachenahalli",2,"Unknown",1050,2,2,55.5
"1051","Super built-up  Area","Iblur Village",3,"Emine P",3235,3,1,235
"1052","Plot  Area","TC Palaya",3,"Unknown",1200,3,0,66
"1053","Super built-up  Area","HSR Layout",2,"NRosete",1140,2,2,46
"1054","Plot  Area","7th Phase JP Nagar",3,"Unknown",1500,3,1,170
"1055","Super built-up  Area","Horamavu Agara",3,"Unknown",1560,3,2,75
"1056","Super built-up  Area","JP Nagar",2,"Saowsri",1100,2,2,70
"1057","Super built-up  Area","Kasavanhalli",3,"Unknown",1260,2,3,40.32
"1058","Super built-up  Area","Hebbal",2,"Arcia S",1036,2,1,50
"1059","Built-up  Area","Akshaya Nagar",3,"DLhtsnd",1662,3,3,85.1
"1060","Super built-up  Area","Yelachenahalli",3,"PuontBe",1464,2,3,105
"1061","Super built-up  Area","Yelahanka",2,"NCowsar",1234,2,2,80
"1062","Super built-up  Area","Sarjapur  Road",3,"Arldsyo",1403,3,1,55
"1063","Plot  Area","Kadugondanahalli",4,"Unknown",915,4,1,54.9
"1064","Plot  Area","2nd Stage Nagarbhavi",6,"Unknown",3000,8,3,451
"1065","Super built-up  Area","Seegehalli",3,"Unknown",1150,2,2,42.9
"1066","Built-up  Area","Hebbal",4,"RMudeat",3900,4,2,410
"1067","Built-up  Area","Yeshwanthpur",5,"Unknown",850,4,2,90
"1068","Super built-up  Area","Kanakapura",2,"Unknown",929,2,1,46
"1069","Plot  Area","2nd Stage Nagarbhavi",6,"Unknown",2400,8,3,450
"1070","Plot  Area","TC Palaya",3,"Unknown",1350,2,1,75
"1071","Super built-up  Area","Vasanthapura",2,"Unknown",1135,2,1,39.73
"1072","Built-up  Area","Basava Nagar",2,"Saarea ",1405,2,2,70
"1073","Plot  Area","Whitefield",2,"Unknown",1200,2,1,45.84
"1074","Super built-up  Area","Haralur Road",4,"SNnia E",2805,4,3,154
"1075","Super built-up  Area","Yeshwanthpur",2,"IBityin",1161,2,2,64.08
"1076","Super built-up  Area","Kanakpura Road",2,"Soena A",1290,2,3,74
"1077","Super built-up  Area","Yeshwanthpur",3,"IBityin",2557,3,2,141
"1078","Built-up  Area","2nd Block Hrbr Layout",3,"Raaden ",1480,3,2,90
"1079","Plot  Area","BTM 1st Stage",9,"Srvasks",3300,14,2,500
"1080","Super built-up  Area","Old Madras Road",3,"SheldGr",1350,3,0,54.54
"1081","Super built-up  Area","Kadugodi",3,"MSingco",1580,2,2,65
"1082","Super built-up  Area","Banashankari",3,"Unknown",1470,2,1,88.64
"1083","Super built-up  Area","Ananth Nagar",1,"Unknown",500,1,1,14
"1084","Super built-up  Area","Sarjapur  Road",2,"PualeSk",1346,2,1,61.92
"1085","Super built-up  Area","Canara Bank Layout",3,"Unknown",1600,3,3,90
"1086","Super built-up  Area","Naganathapura",2,"Unknown",720,2,1,120
"1087","Plot  Area","Narasapura",2,"Unknown",1290,2,2,29.5
"1088","Plot  Area","Manjunath Nagar",4,"Unknown",1200,4,0,135
"1089","Super built-up  Area","Basapura",2,"RMncy R",1200,2,2,35
"1090","Built-up  Area","Channasandra",3,"Pritehi",1340,2,2,48.33
"1091","Plot  Area","Devanahalli",4,"Soyleif",6136,4,2,560
"1092","Super built-up  Area","Jigani",2,"DLhtsan",918,2,2,48
"1093","Plot  Area","Singena Agrahara",3,"CoiewSy",1500,3,2,115
"1094","Super built-up  Area","Yelahanka",2,"Velas V",1315,2,2,85
"1095","Plot  Area","Sector 1 HSR Layout",4,"Unknown",2400,5,2,775
"1096","Super built-up  Area","Uttarahalli",3,"Unknown",1390,2,2,62.55
"1097","Super built-up  Area","Uttarahalli",3,"Aklia R",1330,2,1,56
"1098","Built-up  Area","Jalahalli",5,"BrardCo",3100,4,2,265
"1099","Super built-up  Area","Mango Garden Layout",3,"Ceral C",1824,3,3,125
"1100","Super built-up  Area","7th Phase JP Nagar",3,"Brnia G",1420,2,2,96
"1101","Plot  Area","Kacharakanahalli",1,"Unknown",750,1,0,56.25
"1102","Super built-up  Area","Jalahalli East",3,"ShshaSa",1260,2,1,60
"1103","Super built-up  Area","Hennur Road",3,"Orens G",1561,3,2,95
"1104","Plot  Area","5th Phase JP Nagar",9,"Unknown",812,6,3,165
"1105","Super built-up  Area","Bidere Agarahara, Behind Safal market",2,"Unknown",1060,2,2,42
"1106","Plot  Area","Hoodi",8,"Unknown",1120,8,3,145
"1107","Super built-up  Area","Haralur Road",2,"SNnia E",1225,2,1,67.38
"1108","Super built-up  Area","Thanisandra",3,"Soitya ",2144,3,2,135
"1109","Plot  Area","Kengeri",7,"Unknown",1200,6,2,140
"1110","Super built-up  Area","Electronic City",2,"Itelaa ",880,2,2,29
"1111","Super built-up  Area","Hoodi",3,"GoAirej",1639,3,2,110
"1112","Built-up  Area","Thanisandra",3,"Pronyt ",1240,2,1,62
"1113","Super built-up  Area","Kanakpura Road",2,"Unknown",1500,2,2,69
"1114","Super built-up  Area","Haralur Road",2,"RInceeg",1243,2,1,46
"1115","Super built-up  Area","Marathahalli",3,"Aiitya ",1575,3,2,78
"1116","Super built-up  Area","Haralur Road",2,"Unknown",1027,2,2,44
"1117","Super built-up  Area","Kambipura",3,"Prrtht ",1082,2,1,56
"1118","Super built-up  Area","Konanakunte",3,"Unknown",1637,3,3,73
"1119","Super built-up  Area","Kanakpura Road",3,"Puestol",1665,3,2,86.58
"1120","Super built-up  Area","Electronic City",2,"GoontLa",1265,2,0,56.93
"1121","Super built-up  Area","Electronic City",3,"KonteiT",1691,2,2,102
"1122","Super built-up  Area","Thanisandra",2,"SLaceda",1100,2,1,38
"1123","Built-up  Area","Grihalakshmi Layout",5,"Unknown",24,2,2,150
"1124","Plot  Area","Gopalkrishna Nagar",3,"Unknown",1500,3,2,62
"1125","Built-up  Area","Hosakerehalli",4,"Taonte ",3205,5,1,380
"1126","Built-up  Area","Kammanahalli",5,"Unknown",1666,4,1,150
"1127","Super built-up  Area","Choodasandra",2,"GRhtiru",1115,2,2,50
"1128","Super built-up  Area","Mysore Road",2,"Brama P",1070,2,1,45
"1129","Super built-up  Area","Indira Nagar",2,"Aentsbe",1128,2,2,105
"1130","Super built-up  Area","Budigere",2,"PrityTr",1162,2,1,57
"1131","Super built-up  Area","Sai Gardens",2,"Alivae ",1339,2,2,55
"1132","Super built-up  Area","Mahadevpura",2,"Neagar ",1192,2,2,75
"1133","Super built-up  Area","Haralur Road",3,"DSimaUl",1920,3,1,115
"1134","Super built-up  Area","Hennur",2,"Shateor",1255,2,1,52.32
"1135","Super built-up  Area","Rajaji Nagar",2,"ProdsWe",1357,2,1,115
"1136","Super built-up  Area","Dodda Kempaiah Layout",3,"Unknown",1600,3,2,75
"1137","Super built-up  Area","Hanumanth Nagar",2,"Saersel",1225,2,2,55.11
"1138","Plot  Area","Whitefield",4,"Saark H",2400,4,3,200
"1139","Super built-up  Area","Kasturi Nagar",3,"Unknown",1570,3,3,80
"1140","Super built-up  Area","Thanisandra",2,"Bhmesy ",1093,2,2,70
"1141","Built-up  Area","Basaveshwara Nagar",3,"Suncy R",1865,3,3,145
"1142","Plot  Area","R.T. Nagar",6,"Unknown",1200,7,3,165
"1143","Super built-up  Area","Kaikondrahalli",2,"Srsica ",1039,2,2,80
"1144","Super built-up  Area","Vittasandra",2,"Prlla C",1246,2,1,64.5
"1145","Super built-up  Area","Whitefield",3,"Suent V",1985,3,2,75
"1146","Super built-up  Area","Hosakerehalli",3,"APncyla",1590,3,3,49
"1147","Plot  Area","Hunasamaranahalli",4,"EmardBo",4000,4,2,675
"1148","Super built-up  Area","Electronic City Phase II",2,"Assha A",775,2,2,38
"1149","Super built-up  Area","RWF West Colony",2,"PancyRe",1000,2,1,50
"1150","Super built-up  Area","Hebbal Kempapura",3,"Goateds",1800,3,2,175
"1151","Super built-up  Area","Bommasandra",2,"SSestth",1035,2,1,41
"1152","Super built-up  Area","Dasarahalli",3,"Syonyph",1520,2,1,75
"1153","Super built-up  Area","Whitefield",2,"BrlisCo",1360,2,1,95
"1154","Plot  Area","Bileshivale",4,"FeowsMe",6000,5,3,400
"1155","Super built-up  Area","Kodigehaali",2,"Shyas S",1117,2,2,56
"1156","Plot  Area","KR Puram",4,"Esnamin",1200,4,3,120
"1157","Super built-up  Area","EPIP Zone",2,"BrontLa",1330,2,1,92.5
"1158","Super built-up  Area","Marathahalli",3,"Prionad",1937,3,2,160
"1159","Super built-up  Area","Electronic City",2,"Prarkun",1128,2,1,65.49
"1160","Super built-up  Area","Neeladri Nagar",2,"NatisAt",1053,2,1,45
"1161","Super built-up  Area","Panathur",2,"Prcesvy",1198,2,1,77
"1162","Super built-up  Area","Marathahalli",2,"Spows M",1152,2,1,56
"1163","Super built-up  Area","1st Block Jayanagar",6,"Unknown",1200,6,2,125
"1164","Super built-up  Area","Frazer Town",2,"Maentr ",1625,2,1,75
"1165","Super built-up  Area","Kundalahalli",3,"Dieldli",1397,3,3,105
"1166","Super built-up  Area","Yeshwanthpur",3,"Saade E",1523,3,3,170
"1167","Super built-up  Area","Kambipura",2,"Prrtht ",883,2,1,45
"1168","Super built-up  Area","Kaggalipura",1,"Baowsig",700,1,0,38
"1169","Super built-up  Area","Yelahanka",2,"Neite T",1170,2,1,62.5
"1170","Super built-up  Area","Kanakpura Road",3,"Shiew T",1200,2,2,42
"1171","Built-up  Area","Manayata Tech Park",3,"Unknown",2400,3,2,170
"1172","Super built-up  Area","Kullappa Colony",2,"Unknown",1480,2,2,65
"1173","Super built-up  Area","Akshaya Nagar",3,"DLhtsnd",1897,3,2,120
"1174","Super built-up  Area","Rachenahalli",2,"Unknown",996,2,1,67
"1175","Super built-up  Area","Haralur Road",3,"SNnia E",1875,3,2,110
"1176","Super built-up  Area","Williams Town",3,"Unknown",1500,2,2,98
"1177","Super built-up  Area","Jaya Nagar East",3,"Maens G",3095,3,3,350
"1178","Super built-up  Area","Ambalipura",3,"SJarkte",1390,2,1,175
"1179","Super built-up  Area","Yelahanka",3,"Un 46th",1450,3,0,65.255
"1180","Super built-up  Area","Yelahanka",1,"Prensya",697,1,0,45
"1181","Built-up  Area","Sarjapur  Road",1,"Shthi S",710,1,1,27
"1182","Carpet  Area","Iggalur",2,"VaoldMa",910,2,1,30.5
"1183","Built-up  Area","Sompura",3,"Suiseit",1025,2,1,48
"1184","Super built-up  Area","Magadi Road",2,"Vrenty ",1000,2,0,46.5
"1185","Plot  Area","Harlur",4,"Unknown",1200,4,2,244
"1186","Super built-up  Area","Horamavu Agara",3,"Unknown",1453,2,1,46.48
"1187","Super built-up  Area","Sarjapur  Road",4,"Adeatlm",3335,5,2,300
"1188","Super built-up  Area","Thanisandra",2,"SLityee",1290,2,0,36.435
"1189","Super built-up  Area","Bellandur",2,"Unknown",1281,2,1,74
"1190","Built-up  Area","Cooke Town",1,"Unknown",565,1,1,35
"1191","Built-up  Area","Varthur",2,"DSingSt",1024,2,2,42
"1192","Built-up  Area","Electronic City",3,"Suashen",1620,3,2,62
"1193","Super built-up  Area","Whitefield",2,"SSthamh",1254,2,2,40
"1194","Built-up  Area","Banashankari",3,"Skave E",1300,2,2,75
"1195","Built-up  Area","Doddakallasandra",2,"Unknown",1233,2,2,43
"1196","Plot  Area","Chokkanahalli",1,"Unknown",1200,1,1,28
"1197","Super built-up  Area","Hosur Road",3,"PuendWe",1510,2,1,105
"1198","Super built-up  Area","Kaggalipura",2,"Baowsig",950,2,1,65
"1199","Super built-up  Area","Battarahalli",3,"PaontWa",1945,3,2,97.42
"1200","Super built-up  Area","Uttarahalli",2,"Shierhi",1008,2,3,45
"1201","Super built-up  Area","Thanisandra",3,"Bhmesy ",1265,2,1,79
"1202","Super built-up  Area","Hebbal",3,"Magiaya",1255,2,1,77.68
"1203","Built-up  Area","Kanakpura Road",4,"PrityFa",2689,6,2,220
"1204","Built-up  Area","Yelenahalli",2,"Unknown",1200,2,2,46.17
"1205","Super built-up  Area","Sarjapur  Road",3,"Daivon ",1403,3,3,51.63
"1206","Super built-up  Area","Kudlu Gate",3,"Srier P",1535,3,2,85
"1207","Plot  Area","Chikkaballapur",3,"Unknown",1500,3,3,100
"1208","Super built-up  Area","Chamrajpet",3,"SihtsHe",1475,2,2,120
"1209","Super built-up  Area","Uttarahalli",3,"Unknown",1390,2,2,60.47
"1210","Super built-up  Area","Raja Rajeshwari Nagar",3,"Unknown",1278,2,1,53.76
"1211","Super built-up  Area","VGP Layout",2,"AbnceEs",1133,2,2,55
"1212","Plot  Area","Classic Paradise Layout",5,"Unknown",1560,5,1,145
"1213","Plot  Area","Byappanahalli",5,"Unknown",2900,5,2,90
"1214","Super built-up  Area","Kogilu",2,"Unknown",1170,2,1,51.99
"1215","Plot  Area","Sahakara Nagar",3,"Unknown",1200,3,3,200
"1216","Super built-up  Area","Whitefield",3,"Prtates",1697,3,2,94.79
"1217","Super built-up  Area","Thanisandra",3,"Unknown",1651,3,3,97.38
"1218","Super built-up  Area","Vasanth nagar",3,"Siace P",1560,3,1,188
"1219","Super built-up  Area","Hennur Road",3,"Koagati",1192,2,1,60
"1220","Built-up  Area","OMBR Layout",2,"Unknown",1078,2,3,65
"1221","Plot  Area","Kumaraswami Layout",7,"Unknown",800,7,3,105
"1222","Super built-up  Area","Kasavanhalli",2,"Salisal",1349,2,2,78
"1223","Plot  Area","Ulsoor",9,"Unknown",2300,8,1,210
"1224","Super built-up  Area","7th Phase JP Nagar",3,"Eladero",1680,3,2,120
"1225","Super built-up  Area","Rayasandra",3,"Unknown",1314,2,2,63
