"area_type","location","size","society","total_sqft","bath","balcony","price"
"Super built-up  Area","Akshaya Nagar",3,"Unknown",1410,2,2,75
"Built-up  Area","Kaggadasapura",4,"Adsia F",2150,4,1,100
"Super built-up  Area","Koramangala",3,"Unknown",2292,4,1,275
"Built-up  Area","Malleshwaram",3,"Maens G",2006,3,2,297
"Built-up  Area","Maragondanahalli",3,"ArnzaFi",1508,3,2,70.25
"Built-up  Area","Ramamurthy Nagar",2,"Foghaa ",1040,2,2,50
"Plot  Area","TC Palaya",2,"Lancy R",1240,2,1,60
"Super built-up  Area","Kudlu Gate",3,"Srier P",1535,3,1,78
"Built-up  Area","Lakshminarayana Pura",2,"RothaVa",1180,2,2,75
"Built-up  Area","Abbigere",6,"Unknown",2200,6,2,68
"Super built-up  Area","Bannerghatta Road",2,"SNity S",1400,2,2,78
"Super built-up  Area","Raja Rajeshwari Nagar",1,"Unknown",500,1,1,25
"Plot  Area","Whitefield",4,"Pronege",4800,4,3,525
"Super built-up  Area","Sarjapur  Road",3,"Puallhi",1984,4,1,146
"Plot  Area","Whitefield",4,"VDe 1Du",3000,5,3,250
"Super built-up  Area","Garudachar Palya",3,"BrlisMe",1960,3,3,160
"Super built-up  Area","Sarjapur  Road",2,"Shthi S",1035,2,1,45
"Built-up  Area","Vibuthipura",4,"Unknown",2150,4,1,80
"Built-up  Area","Whitefield",3,"Mithmn ",1700,3,2,115
"Super built-up  Area","Hosakerehalli",4,"Taonte ",3024,5,1,248
"Super built-up  Area","Tumkur Road",3,"Sapus S",1586,3,1,100
"Plot  Area","Chikka Tirupathi",4,"Theanmp",2325,4,1,120
"Super built-up  Area","Yelahanka",2,"Rarthne",1120,2,2,55
"Super built-up  Area","Sarjapur  Road",2,"CharkGr",1128,2,2,59
"Plot  Area","5th Block Hbr Layout",6,"Unknown",1200,6,2,250
"Super built-up  Area","Jigani",2,"DLhtsan",924,2,2,65
"Super built-up  Area","Suraksha Nagar",3,"AritaFe",1600,3,2,52
"Super built-up  Area","Pai Layout",2,"Unknown",1006,2,2,35
"Super built-up  Area","Amruthahalli",2,"Srncy R",1200,2,2,55
"Super built-up  Area","Jalahalli West",2,"Unknown",1250,2,1,62
"Plot  Area","Defence Layout",3,"Unknown",1200,3,1,130
"Built-up  Area","Kannamangala",2,"VBownre",957,2,1,56
"Super built-up  Area","Whitefield",2,"SSthamh",1140,2,2,41
"Super built-up  Area","Roopena Agrahara",2,"RortsCo",1050,2,1,67
"Super built-up  Area","Kasturi Nagar",3,"Unknown",1565,3,2,88.5
"Super built-up  Area","Whitefield",2,"GClmsun",1190,2,3,57
"Built-up  Area","Whitefield",3,"Unknown",2842,3,2,162
"Built-up  Area","Kanakpura Road",3,"SoapeSu",1290,2,2,65
"Super built-up  Area","Electronics City Phase 1",1,"Unknown",630,1,1,39
"Super built-up  Area","Whitefield",3,"Iseenst",1403,2,2,60.81
"Super built-up  Area","Kanakpura Road",3,"SLourle",1542,2,3,85
"Built-up  Area","Haralur Road",4,"IDlleri",2750,4,0,220
"Super built-up  Area","Iblur Village",4,"Emine P",3596,5,1,290
"Super built-up  Area","Kengeri Satellite Town",3,"Unknown",1635,2,2,78
"Super built-up  Area","Mysore Road",2,"Unknown",1239,2,1,53
"Super built-up  Area","Haralur Road",2,"Unknown",1194,2,2,47
"Super built-up  Area","Dooravani Nagar",3,"Puceswn",1596,3,1,105
"Super built-up  Area","Channasandra",2,"Unm 2El",1009,2,1,38.34
"Super built-up  Area","Hosa Road",3,"Mahesr ",1726,3,2,81.99
"Super built-up  Area","Kudlu Gate",3,"Srier P",1535,3,2,86
"Super built-up  Area","Banashankari Stage V",3,"Unknown",1300,2,1,58.5
"Plot  Area","Whitefield",4,"Adowslm",3100,4,2,465
"Super built-up  Area","Coconut Garden",3,"Unknown",1800,3,3,80
"Super built-up  Area","Binny Pete",1,"Shestlo",665,1,0,50.75
"Plot  Area","Chamrajpet",9,"Unknown",4050,7,1,1200
"Plot  Area","TC Palaya",3,"Unknown",1500,2,1,100
"Built-up  Area","Kalkere",2,"Sothin ",925,2,2,48
"Super built-up  Area","Old Airport Road",4,"Jaades ",3356,4,2,251
"Super built-up  Area","Gollahalli",2,"ArzzaRe",1395,2,1,63.59
"Super built-up  Area","Sonnenahalli",3,"DSgam S",1415,2,1,55
"Super built-up  Area","Begur",3,"Arera V",1419,2,2,59
"Super built-up  Area","Kasavanhalli",2,"Brersge",1121,2,2,78
"Super built-up  Area","Kambipura",3,"Unknown",1082,2,1,45
"Super built-up  Area","KR Puram",2,"MCnexva",1100,2,1,47
"Super built-up  Area","Hoodi",3,"Keers S",1606,3,3,89.55
"Built-up  Area","Billekahalli",3,"Unknown",1650,3,2,88
"Super built-up  Area","D Souza Layout",3,"Niateki",4634,4,3,1015
"Super built-up  Area","Old Airport Road",2,"Vadel C",1206,2,3,75
"Built-up  Area","Sarjapur  Road",3,"HIideSu",1495,2,0,64
"Plot  Area","Malleshwaram",8,"Unknown",840,7,2,195
"Super built-up  Area","Electronic City",2,"Itelaa ",710,2,2,16
"Super built-up  Area","Balagere",2,"Unknown",1210,2,1,72
"Super built-up  Area","Nagarbhavi",3,"DSesthr",1523,2,2,53.4
"Super built-up  Area","Whitefield",2,"Krine C",1232,2,2,45
"Super built-up  Area","Rachenahalli",1,"AsNowre",680,1,1,44
"Super built-up  Area","Hebbal",3,"Magiaya",1355,3,1,83.87
"Super built-up  Area","Thanisandra",3,"MenueNo",1430,2,2,51.46
"Super built-up  Area","Kothannur",3,"Unknown",1275,2,2,43.85
"Super built-up  Area","Electronic City",2,"GMown E",1070,2,1,56.1
"Plot  Area","Bettahalsoor",3,"Unknown",1200,3,1,85
"Plot  Area","Electronic City",4,"Unknown",2000,4,0,120
"Super built-up  Area","Bommanahalli",2,"Unknown",1200,2,2,40
"Super built-up  Area","Marathahalli",3,"SatatHa",1610,3,1,90
"Super built-up  Area","Haralur Road",2,"RInceeg",1140,2,2,43
"Super built-up  Area","Raja Rajeshwari Nagar",2,"GrrvaGr",1143,2,2,38.65
"Super built-up  Area","Jakkur",4,"SoineC ",1290,6,3,249
"Super built-up  Area","Rachenahalli",3,"Sovar S",1530,2,2,74.4
"Super built-up  Area","7th Phase JP Nagar",2,"Brnia G",980,2,2,69
"Super built-up  Area","Whitefield",3,"ChodsGr",1485,3,2,65
"Plot  Area","Whitefield",3,"WoarkEm",1500,3,1,130
"Super built-up  Area","Whitefield",2,"Umods W",1280,2,1,75
"Super built-up  Area","Thanisandra",2,"Bhmesy ",1265,2,2,85
"Built-up  Area","ECC Road, Whitefield, ",2,"Unknown",1132,2,1,67
"Super built-up  Area","Ashwath Nagar",2,"SJcerpe",1262,2,2,63
"Super built-up  Area","JP Nagar",2,"Maentor",940,2,1,49
"Super built-up  Area","Seetharampalya",3,"Unknown",1515,3,3,88
"Super built-up  Area","Jigani",3,"DLhtsan",1300,3,3,150
"Built-up  Area","Kothanur",3,"Unknown",1840,3,1,69
"Built-up  Area","Electronic City",2,"Itvir M",890,2,2,45
"Super built-up  Area","Rukmaiah Layout",3,"Unknown",1655,3,2,86.06
"Super built-up  Area","Hennur Road",3,"SaireSa",2060,3,1,149
"Super built-up  Area","Bommanahalli",3,"SNeur G",1730,3,1,96
"Built-up  Area","Yelahanka",3,"Leilo E",2195,4,2,127
"Super built-up  Area","Kathriguppe",3,"Unknown",1650,3,2,125
"Plot  Area","KR Puram",2,"Unknown",1200,2,0,71
"Super built-up  Area","Hosa Road",2,"Unknown",1079,2,1,32.37
"Super built-up  Area","Panathur",2,"Caiya D",1085,2,1,36
"Built-up  Area","Maruthi Sevanagar",7,"Unknown",5000,7,2,299
"Super built-up  Area","Yelahanka",2,"Unknown",1075,2,1,51.5
"Super built-up  Area","Devanahalli Int. Airport",2,"Unknown",1380,2,1,80
"Super built-up  Area","Puttanahalli",3,"Unknown",1450,3,1,65
"Super built-up  Area","Thubarahalli",2,"Unknown",1200,2,2,78
"Super built-up  Area","Benson Town",3,"Unknown",3200,4,2,350
"Super built-up  Area","Hoodi",3,"GoAirej",1639,3,1,98.32
"Super built-up  Area","Jakkuru Layout",2,"Unknown",1200,2,1,54
"Super built-up  Area","Vijayanagar",3,"Saityat",1739,3,1,116
"Built-up  Area","Palanahalli",4,"RMaanSa",4346,5,2,500
"Super built-up  Area","Old Madras Road",2,"Shmes O",935,2,1,32.72
"Super built-up  Area"," Thanisandra",1,"Bhe 2ko",510,1,1,25.25
"Plot  Area","Devasandra Extension",6,"Unknown",1200,6,3,180
"Super built-up  Area","Nagondanahalli",2,"PrestSe",1178,2,3,47
"Built-up  Area","Chikkalasandra",3,"Siourpl",1375,2,1,50
"Super built-up  Area","Chandapura",3,"Halms S",1065,2,1,33
"Super built-up  Area","2nd Phase Judicial Layout",3,"Unknown",1450,2,1,50.75
"Built-up  Area","BEML Layout",2,"Unknown",999,2,3,45
"Super built-up  Area","Amruthahalli",2,"Unknown",4400,3,2,475
"Plot  Area","Marathahalli",5,"Unknown",1350,4,1,135
"Built-up  Area","Kothannur",2,"Unknown",1100,2,2,40
"Super built-up  Area","Koramangala",3,"Wiass G",1835,2,3,155
"Super built-up  Area","Hoodi",4,"Caycend",2090,4,0,95.1
"Super built-up  Area","Lingadheeranahalli",3,"Soiewre",1519,3,1,93
"Built-up  Area","Dommasandra",3,"Asene S",1267,3,2,56
"Super built-up  Area","Sanjay nagar",2,"Camesa ",1150,2,3,72.2
"Super built-up  Area","Marathahalli",2,"PrensKe",1146,2,1,70
"Plot  Area","1st Block HRBR Layout",8,"Unknown",1200,7,0,235
"Built-up  Area","Kannamangala",3,"Marnaer",1550,3,3,65
"Built-up  Area","Chandapura",2,"KHityry",850,1,1,18.5
"Super built-up  Area","Richmond Town",3,"Kaestid",2200,3,2,187
"Built-up  Area","Sarjapur Road, ",3,"Unknown",3329,3,2,330
"Carpet  Area","Electronics City Phase 1",1,"Unknown",785,1,1,55
"Super built-up  Area","Hebbal Kempapura",3,"GonumPl",2900,4,2,300
"Built-up  Area","Raja Rajeshwari Nagar",3,"Avlya A",1610,3,2,74
"Super built-up  Area","Bellandur",2,"Krine O",921,2,2,40
"Plot  Area","Kengeri Satellite Town",3,"Unknown",850,3,2,95
"Built-up  Area","Bannerghatta Road",5,"Unknown",2700,5,0,158
"Super built-up  Area","Sarjapur  Road",3,"SocusHi",1700,3,3,110
"Built-up  Area","Sarjapur",2,"Sondaka",1020,2,2,35
"Super built-up  Area","Billekahalli",2,"Dintsmi",1090,2,3,52
"Plot  Area","Bagalur Main Road",4,"Unknown",3600,4,2,300
"Super built-up  Area","Haralur Road",2,"Unknown",1027,2,2,44
"Super built-up  Area","Thanisandra",2,"MenueNo",1185,2,2,42.1
"Super built-up  Area","Doddathoguru",2,"Prianhi",850,2,1,25
"Built-up  Area","Harlur",2,"Prncyrn",1197,2,1,84
"Super built-up  Area","Byadarahalli",4,"ETntsce",3500,3,3,450
"Super built-up  Area","Poorna Pragna Layout",2,"Unknown",920,2,2,39.55
"Super built-up  Area","Chamrajpet",9,"Unknown",1290,9,1,296
"Super built-up  Area","Raja Rajeshwari Nagar",2,"i1rtsCo",1105,2,1,65
"Super built-up  Area","Yeshwanthpur",3,"GoandAc",1850,3,3,100
"Super built-up  Area","Judicial Layout",3,"PrarePa",1300,3,1,64
"Built-up  Area","Varthur Road, ",3,"Unknown",1595,3,2,76
"Super built-up  Area","Kodihalli",4,"Priesla",3073,5,2,696
"Built-up  Area","Horamavu Agara",2,"Unknown",755,2,1,37.49
"Built-up  Area","Nagasandra",5,"Unknown",4050,5,2,140
"Super built-up  Area","Kanakpura Road",3,"Unknown",1300,2,3,69
"Built-up  Area","Bannerghatta Road",2,"Unknown",1215,2,0,50
"Super built-up  Area","Kanakpura Road",2,"PrarePa",900,2,1,46
"Super built-up  Area","Banashankari Stage III",2,"Unknown",1145,2,3,58.4
"Super built-up  Area","Chikka Banaswadi",2,"Unknown",1093,2,2,65
"Super built-up  Area","Babusapalaya",3,"Unknown",1213,2,2,41.39
"Super built-up  Area","Bannerghatta Road",3,"PrliaRe",1654,3,2,100
"Super built-up  Area","NGR Layout",2,"Unknown",1105,2,1,52.48
"Super built-up  Area","Babusapalaya",3,"Unknown",1611,2,2,66
"Built-up  Area","Outer Ring Road East",2,"Hoens T",1367,2,2,62
"Super built-up  Area","Devanahalli",2,"Brntsal",1010,2,1,51
"Plot  Area","Kavika Layout",3,"Unknown",750,2,1,75
"Carpet  Area","Vinayaka Nagar",3,"SVon hn",1535,3,1,95
"Super built-up  Area","Anekal",2,"Unknown",620,2,1,22
"Built-up  Area","Horamavu Agara",2,"Unknown",982,2,1,47.65
"Super built-up  Area","Banashankari Stage II",2,"Unknown",1700,2,2,150
"Super built-up  Area","Whitefield",2,"BSlasin",1330,2,1,71
"Built-up  Area","JP Nagar",3,"Ronty C",2500,3,2,135
"Super built-up  Area","Poorna Pragna Layout",3,"Unknown",1475,2,2,58.99
"Super built-up  Area","Bhoganhalli",3,"BSisear",1410,3,1,65
"Super built-up  Area","Yelahanka New Town",1,"Unknown",440,1,1,16.5
"Super built-up  Area","Yelahanka",3,"PuziaVe",1614,3,2,95
"Super built-up  Area","Neeladri Nagar",2,"GeereEc",1363,2,2,68
"Built-up  Area","Kogilu",2,"Unknown",650,2,0,28
"Super built-up  Area","Dodda Kempaiah Layout",2,"Unknown",1015,2,1,45
"Super built-up  Area","Horamavu Banaswadi",2,"Unknown",1156,2,2,46
"Super built-up  Area","Hennur Busstop",2,"Unknown",1100,2,1,62.7
"Super built-up  Area","KR Puram",3,"Unknown",1455,3,2,46
"Super built-up  Area","GB Palya",2,"Ravashw",930,2,1,45
"Built-up  Area","AMS Layout",3,"Unknown",1650,2,2,80
"Built-up  Area","KR Puram",2,"Unknown",1200,2,0,90
"Plot  Area","9th Block Jayanagar",1,"Unknown",700,1,0,150
"Super built-up  Area","Karuna Nagar",4,"AjityIn",2900,3,2,135
"Super built-up  Area","Kadugodi",3,"Alestrb",1890,4,3,127
"Super built-up  Area","Ashwathnagar",3,"Vaour S",2197,4,3,280
"Super built-up  Area","Hebbal Kempapura",3,"GonumPl",3522,3,2,380
"Super built-up  Area","Gaurava Nagar",3,"Unknown",1240,2,2,46
"Built-up  Area","HRBR Layout",2,"Vaaveeh",1440,2,2,98
"Super built-up  Area","Kodichikkanahalli",1,"Unknown",650,1,2,38
"Super built-up  Area","Budigere",1,"Brstaue",764,1,1,32
"Plot  Area","Sector 7 HSR Layout",5,"Unknown",900,4,0,90
"Super built-up  Area","Raja Rajeshwari Nagar",3,"GrrvaGr",1693,3,3,57.39
"Built-up  Area","Hoodi",3,"Macanr ",1445,3,2,65
"Super built-up  Area","Kanakpura Road",2,"PrarePa",900,1,0,45
"Super built-up  Area","Singasandra",2,"Unknown",1030,2,2,55
"Super built-up  Area","Yelahanka",3,"Pyikad ",1381,2,2,52.48
"Built-up  Area","Basapura",2,"Krtiqa ",1100,2,1,60
"Super built-up  Area","Hoodi",3,"Unknown",1575,3,2,66.39
"Plot  Area","Thigalarapalya",2,"Unknown",1200,2,1,65
"Super built-up  Area","Begur Road",2,"Dhalsh ",1200,2,2,43.2
"Super built-up  Area","Kasturi Nagar",2,"GradeMR",1080,2,2,80
"Plot  Area","Hebbal Kempapura",5,"Unknown",2280,5,2,200
"Super built-up  Area","Akshaya Nagar",3,"Unknown",1360,2,2,85
"Super built-up  Area","Jakkur",3,"Ceezey ",1865,3,1,124
"Super built-up  Area","Sarjapur  Road",3,"AsastDe",1157,2,1,75
"Super built-up  Area","Kammasandra",2,"Icingpy",674,2,1,29
"Super built-up  Area","Whitefield",3,"AdndeBe",1405,2,1,78
"Super built-up  Area","Begur Road",2,"Dhalsh ",1160,2,2,44.08
"Plot  Area","Kengeri Satellite Town ( BDA SITE)",4,"Unknown",1600,3,1,172
"Super built-up  Area","Hebbal",3,"Oztarol",1790,3,2,127
"Super built-up  Area","Electronic City",2,"Prarkun",1128,2,1,65.65
"Super built-up  Area","Panathur",2,"Arentpa",1180,2,1,70
"Built-up  Area","AGS Layout",3,"Unknown",1450,2,2,85
"Built-up  Area","Kengeri",1,"Unknown",340,1,1,10
"Built-up  Area","Srinagar",4,"Unknown",2000,3,1,166
"Super built-up  Area","Rachenahalli",2,"Unknown",1050,2,2,53.5
"Super built-up  Area","Varthur",2,"Pethaai",1125,2,2,40
"Super built-up  Area","Vittasandra",2,"Prlla C",1246,2,1,68
"Super built-up  Area","HSR Layout",2,"SrisePo",1372,2,1,61
"Super built-up  Area","Uttarahalli",3,"Aklia R",1330,2,1,56
"Super built-up  Area","Binny Pete",3,"She 2rk",2465,5,2,234
"Super built-up  Area","Dasarahalli",2,"Unknown",1300,2,3,55
"Plot  Area","Brigade Road",2,"Unknown",1420,1,0,220
"Plot  Area","Bannerghatta",4,"Unknown",810,4,1,50
"Super built-up  Area","Channasandra",2,"Unm 2El",1065,2,1,35
"Built-up  Area","Hessarghatta",2,"Unknown",700,2,0,27
"Carpet  Area","Hebbal",2,"Arcia S",1290,2,0,42.72
"Super built-up  Area","Belathur",2,"Viiniai",1050,2,1,45
"Super built-up  Area","Maruthi HBCS Layout",3,"Unknown",1250,3,3,39.5
"Built-up  Area","Electronic City",2,"Palleon",865,2,0,42
"Super built-up  Area","Uttarahalli",2,"Unknown",1200,2,2,44
"Built-up  Area","Srirampura",3,"NRnoral",1756,3,3,100
"Plot  Area","Malleshwaram",9,"Unknown",750,8,2,150
"Super built-up  Area","Yelahanka",1,"Ardanru",628,1,1,24
"Plot  Area","9th Phase JP Nagar",7,"Unknown",1200,6,2,195
"Super built-up  Area","5th Phase JP Nagar",2,"Unknown",1207,2,2,63
"Super built-up  Area","Kalena Agrahara",3,"KlarkBe",1765,3,1,125
"Built-up  Area","Electronic City",2,"Unknown",1130,2,1,32.64
"Super built-up  Area","Devanahalli Road",3,"Ozana U",1532,3,3,92
"Built-up  Area","Ejipura",3,"DSncele",1650,3,0,110
"Built-up  Area","Horamavu Banaswadi",4,"Unknown",1200,4,2,105
"Carpet  Area","Bhoganhalli",2,"Rosha I",1290,2,1,69.09
"Super built-up  Area","Doddathoguru",2,"Unknown",1200,2,2,75
"Super built-up  Area","Kengeri",2,"Unknown",1197,2,2,50
"Built-up  Area","Green Woods Layout",2,"Paarklu",1200,2,2,66
"Super built-up  Area","Uttarahalli",3,"Shony S",1385,2,2,48.48
"Super built-up  Area","Craig Park Layout",2,"Cearkry",1010,2,3,148
"Super built-up  Area","Whitefield",3,"UKe 2nz",2225,3,3,115
"Super built-up  Area","Immadihalli",2,"Niimet ",1180,2,2,48
"Super built-up  Area","Banagiri Nagar",3,"Unknown",1525,2,3,122
"Super built-up  Area","Ananth Nagar",2,"Unknown",1100,2,2,31.5
"Super built-up  Area","Hiremath Layout",3,"Unknown",1435,3,3,70
"Built-up  Area","Attibele",1,"Jae 2hu",400,1,1,14
"Super built-up  Area","Dommasandra",2,"Asene S",1200,2,2,50
"Super built-up  Area","Whitefield",2,"PritaDo",1272,2,1,95.05
"Super built-up  Area","Whitefield",2,"SSthamh",1205,2,1,39
"Built-up  Area","Kalena Agrahara",2,"ARomee ",980,2,1,40
"Super built-up  Area","Malleshpalya",2,"Unknown",1225,2,2,46.86
"Built-up  Area","Whitefield",3,"Unknown",1541,3,1,72
"Super built-up  Area","Ramagondanahalli",3,"DNeremo",1610,2,2,111
"Super built-up  Area","Jalahalli",2,"Tahtsla",1694,2,2,125
"Plot  Area","Jnanabharathi Layout",3,"Unknown",600,3,2,75
"Super built-up  Area","Kaggalipura",2,"Baowsig",950,2,1,39
"Super built-up  Area","Muneshwara Nagar",3,"Laderav",1560,2,3,66
"Super built-up  Area","Chandapura",2,"Unknown",1201,2,2,27
"Plot  Area","Chandapura",2,"Unknown",1500,2,1,60
"Super built-up  Area","Malleshpalya",3,"Unknown",1785,3,2,75
"Built-up  Area","Raja Rajeshwari Nagar",2,"Unknown",1258,2,1,63.53
"Super built-up  Area","Electronic City",2,"CoapeSo",910,2,2,42
"Super built-up  Area","Thigalarapalya",2,"Unknown",1297,2,2,112
"Super built-up  Area","Kundalahalli",2,"Vangsld",1291,2,3,49
"Built-up  Area","Chikkasandra",2,"Unknown",1070,2,2,42
"Super built-up  Area","Varthur",2,"Soamsay",1012,2,1,66.5
"Super built-up  Area","Mahadevpura",2,"Unknown",1260,2,3,57.6
"Super built-up  Area","Sarjapur  Road",2,"Maantr ",1282,2,2,72
"Super built-up  Area","Kanakpura Road",3,"Puestol",1843,3,2,92.15
"Plot  Area","Bharath Housing Society Layout",4,"Unknown",2400,3,2,200
"Built-up  Area","Chikka Tirupathi",5,"Theanmp",3356,5,2,105
"Super built-up  Area","Hebbal",4,"Raard B",2790,5,3,198
"Super built-up  Area","EPIP Zone",2,"BrontLa",1330,2,1,86.98
"Super built-up  Area","Konanakunte",3,"A rtsai",1400,2,1,73
"Built-up  Area","Whitefield",2,"Unknown",1192,2,1,71
"Built-up  Area","3rd Block Jayanagar",2,"Unknown",1000,2,1,130
"Super built-up  Area","Thigalarapalya",2,"Prtanha",1297,2,2,103
"Super built-up  Area","Sarjapur  Road",1,"Sasta S",615,1,0,17.835
"Super built-up  Area","Vijayanagar",3,"Saahaat",1490,3,2,100
"Super built-up  Area","Rayasandra",3,"MJeusyl",1373,3,2,72
"Super built-up  Area","7th Phase JP Nagar",2,"Unknown",1035,2,1,41.39
"Plot  Area","Kadugodi",4,"Unknown",3750,4,0,210
"Super built-up  Area","Doddakallasandra",2,"Unknown",1010,2,1,40.39
"Built-up  Area","Sarjapur",2,"Unknown",1195,2,1,42
"Super built-up  Area","HSR Layout",3,"Klort C",1750,3,2,95
"Super built-up  Area","Malleshpalya",2,"A idse ",1052,2,2,50
"Super built-up  Area","Horamavu Banaswadi",2,"Unknown",1180,2,2,58
"Built-up  Area","Padmanabhanagar",5,"Unknown",3680,4,2,440
"Built-up  Area","Hormavu",3,"Unknown",2100,3,2,73
"Built-up  Area","Hoodi",4,"Unknown",2863,4,1,140
"Super built-up  Area","Raja Rajeshwari Nagar",2,"GrrvaGr",1128,2,2,38.24
"Built-up  Area","Ulsoor",3,"Unknown",2700,3,1,450
"Super built-up  Area","JP Nagar",2,"DSvvyx ",1120,2,2,33.6
"Built-up  Area","HSR Layout",3,"Unknown",2424,3,2,90
"Built-up  Area","Manjunatha Layout",2,"Unknown",1300,2,1,60
"Super built-up  Area","Kanakapura",2,"SPavenc",1090,2,2,32.69
"Built-up  Area","Yelahanka",3,"Unknown",2710,3,1,251
"Plot  Area","Konanakunte Cross",2,"Unknown",3040,1,1,180
"Super built-up  Area","Uttarahalli",3,"SLnssPr",1330,2,2,46.55
"Super built-up  Area","Hosur Road",3,"PuendWe",1427,2,1,80.63
"Super built-up  Area","Banjara Layout",3,"Unknown",1294,2,2,48
"Built-up  Area","Begur",3,"Vantspa",1580,3,2,75
"Plot  Area","Uttarahalli",5,"Unknown",400,5,1,200
"Plot  Area","Chikka Tirupathi",3,"FiriaVi",1808,4,2,80.27
"Super built-up  Area","Rajaji Nagar",4,"PhestOn",3516,4,3,540
"Super built-up  Area","Parappana Agrahara",2,"Peide L",1194,2,2,47
"Super built-up  Area","Kanakpura Road",2,"PrarePa",900,2,1,46
"Super built-up  Area","Abbaiah Reddy Layout",3,"Unknown",1310,2,3,50
"Super built-up  Area","Kanakpura Road",2,"PrarePa",900,2,1,46
"Built-up  Area","Singasandra",4,"Unknown",3850,6,3,195
"Plot  Area","Kogilu",7,"Unknown",925,7,3,88
"Super built-up  Area","Yelachenahalli",2,"Unknown",2400,1,1,150
"Super built-up  Area","Koramangala",2,"Unknown",1290,2,3,100
"Built-up  Area","Yelahanka",6,"Unknown",3770,6,3,110
"Super built-up  Area","Lakshmi Layout",3,"Cemesti",1390,3,1,120
"Plot  Area","Tavarekere",4,"Unknown",1200,4,2,72
"Built-up  Area","Bisuvanahalli",2,"Prityel",845,2,1,33
"Super built-up  Area","Yelahanka",3,"Niareum",1537,3,3,120
"Super built-up  Area","Immadihalli",2,"Unknown",1135,2,2,68
"Super built-up  Area","Hoodi",3,"Caycend",1512,3,2,75.77
"Super built-up  Area","Srinivasa Nagar",2,"Unknown",900,2,1,55
"Super built-up  Area","Jigani",3,"DLhtsen",1230,3,3,54
"Super built-up  Area","Thirumenahalli",3,"MNtha A",1378,2,3,42.33
"Super built-up  Area","Whitefield",2,"Asarqz ",1277,2,1,61.3
"Super built-up  Area","Hebbal",3,"Raard B",1985,4,2,189
"Plot  Area","Kengeri",5,"Unknown",8000,5,2,500
"Super built-up  Area","KPC Layout",2,"SVmesVi",1210,2,2,62
"Super built-up  Area","Yelahanka",2,"Unknown",890,2,2,40
"Plot  Area","JP Nagar",9,"Unknown",2550,9,0,360
"Plot  Area","Sarjapur",4,"Unknown",1200,5,2,110
"Built-up  Area","Ardendale",4,"AWharde",3198,4,3,200
"Super built-up  Area","HOSUR MAIN ROAD",3,"Unknown",1464,3,2,56
"Super built-up  Area","Hebbal",4,"Prersis",2483,5,2,215
"Plot  Area","Begur",4,"Unknown",1550,4,2,130
"Super built-up  Area","Sarjapur  Road",4,"Vaunei ",4111,4,1,310
"Super built-up  Area","Electronic City",2,"SNncypa",975,2,2,37.5
"Super built-up  Area","Nandi Durga Road",3,"Unknown",2500,3,1,250
"Super built-up  Area","Rajiv Nagar",3,"PuoodSk",1690,3,1,125
"Super built-up  Area","Hosa Road",2,"SStusan",1063,2,1,31.89
"Plot  Area","Cooke Town",3,"Unknown",2572,3,3,390
"Carpet  Area","Kumara Park",3,"Unknown",2200,4,2,350
"Built-up  Area","Daadys Gaarden Layout",3,"InockHo",1600,3,0,80
"Super built-up  Area","Maruthi Nagar",3,"Unknown",1250,3,1,39.5
"Super built-up  Area","Bommanahalli",1,"Prtusth",520,1,0,19.5
"Super built-up  Area","Marathahalli",4,"PueraRi",4000,5,2,212
"Built-up  Area","Munnekollal",3,"Keids O",1390,3,2,68
"Super built-up  Area","Whitefield",2,"SSdhimr",1185,2,2,40
"Super built-up  Area","Sahakara Nagar",2,"KVersuj",1219,2,2,48
"Super built-up  Area","Kudlu Gate",3,"Sanzaat",1564,2,1,92
"Super built-up  Area","Sarjapur  Road",4,"DSndsod",3430,6,0,228.5
"Super built-up  Area","Hosa Road",2,"Sancei ",1100,2,2,37.1
"Built-up  Area","Kothannur",3,"Esale O",1300,2,0,60
"Plot  Area","Chikkabanavar",3,"Unknown",1600,2,0,80
"Built-up  Area","Ramamurthy Nagar",3,"Unknown",1600,3,2,75
"Super built-up  Area","Hennur Road",3,"Puachal",1482,2,1,92
"Plot  Area","Marsur",3,"MGave E",1000,4,3,66
"Super built-up  Area","Shampura",2,"Unknown",1200,2,3,53
"Plot  Area","Gubbalala",3,"Unknown",600,3,2,75
"Super built-up  Area","Kengeri",2,"Unknown",1200,2,0,58
"Plot  Area","Kereguddadahalli",6,"Unknown",600,4,0,60
"Built-up  Area","Nagarbhavi",3,"Unknown",2400,3,0,160
"Super built-up  Area","Marathahalli",3,"PrensKe",1469,3,1,89
"Super built-up  Area","Kanakapura",1,"Unknown",551,1,1,30
"Super built-up  Area","Electronics City Phase 1",2,"Unknown",1160,2,1,52
"Super built-up  Area","Balagere",2,"Soresea",1205,2,1,78.5
"Built-up  Area","Kasavanhalli",3,"Unknown",1550,2,3,52
"Super built-up  Area","Gubbalala",3,"MauilTr",1745,3,2,125
"Super built-up  Area","AECS Layout",2,"Kamesar",1028,2,1,42
"Super built-up  Area","Frazer Town",3,"CaaveEn",1700,3,1,180
"Super built-up  Area","Karuna Nagar",3,"NadriNe",1200,2,1,34
"Super built-up  Area","Kodihalli",3,"Soianal",2700,4,1,270
"Built-up  Area","Kallumantapa",2,"BSarknd",1100,2,2,50
